Gamma,Lambda,Accuracy
9.54e-06,2.33e-06,95.7427536231884
9.54e-06,3.09e-06,95.92391304347827
9.54e-06,4.09e-06,95.83333333333334
9.54e-06,5.43e-06,96.10507246376811
9.54e-06,7.2e-06,95.92391304347827
9.54e-06,9.54e-06,96.19565217391305
9.54e-06,1.265e-05,96.19565217391305
9.54e-06,1.677e-05,96.55797101449275
9.54e-06,2.223e-05,96.73913043478261
9.54e-06,2.947e-05,96.92028985507247
9.54e-06,3.907e-05,97.10144927536231
9.54e-06,5.179e-05,97.10144927536231
9.54e-06,6.866e-05,97.37318840579711
9.54e-06,9.103e-05,97.91666666666666
9.54e-06,0.00012068,98.0072463768116
9.54e-06,0.00015999,98.27898550724638
9.54e-06,0.0002121,98.55072463768117
9.54e-06,0.00028118,98.82246376811594
9.54e-06,0.00037276,98.91304347826086
9.54e-06,0.00049417,99.45652173913044
9.54e-06,0.00065513,99.54710144927536
9.54e-06,0.00086851,99.72826086956522
9.54e-06,0.0011514,99.72826086956522
9.54e-06,0.00152642,99.72826086956522
9.54e-06,0.00202359,99.81884057971014
9.54e-06,0.0026827,99.90942028985508
9.54e-06,0.00355648,99.90942028985508
9.54e-06,0.00471487,99.90942028985508
9.54e-06,0.00625055,100.0
9.54e-06,0.00828643,100.0
9.54e-06,0.01098541,100.0
9.54e-06,0.01456348,100.0
9.54e-06,0.01930698,100.0
9.54e-06,0.02559548,100.0
9.54e-06,0.03393222,100.0
9.54e-06,0.04498433,100.0
9.54e-06,0.05963623,100.0
9.54e-06,0.07906043,100.0
9.54e-06,0.10481131,100.0
9.54e-06,0.13894955,100.0
9.54e-06,0.184207,100.0
9.54e-06,0.24420531,100.0
9.54e-06,0.32374575,100.0
9.54e-06,0.42919343,100.0
9.54e-06,0.5689866,100.0
9.54e-06,0.75431201,100.0
9.54e-06,1.0,100.0
1.265e-05,1e-06,97.55434782608695
1.265e-05,1.33e-06,97.55434782608695
1.265e-05,1.76e-06,97.64492753623189
1.265e-05,2.33e-06,97.46376811594203
1.265e-05,3.09e-06,97.64492753623189
1.265e-05,4.09e-06,97.64492753623189
1.265e-05,5.43e-06,97.64492753623189
1.265e-05,7.2e-06,97.64492753623189
1.265e-05,9.54e-06,97.73550724637681
1.265e-05,1.265e-05,97.64492753623189
1.265e-05,1.677e-05,97.64492753623189
1.265e-05,2.223e-05,97.73550724637681
1.265e-05,2.947e-05,97.82608695652173
1.265e-05,3.907e-05,97.82608695652173
1.265e-05,5.179e-05,97.82608695652173
1.265e-05,6.866e-05,98.0072463768116
1.265e-05,9.103e-05,98.0072463768116
1.265e-05,0.00012068,98.18840579710145
1.265e-05,0.00015999,98.73188405797102
1.265e-05,0.0002121,98.91304347826086
1.265e-05,0.00028118,99.0036231884058
1.265e-05,0.00037276,99.45652173913044
1.265e-05,0.00049417,99.54710144927536
1.265e-05,0.00065513,99.54710144927536
1.265e-05,0.00086851,99.81884057971014
1.265e-05,0.0011514,99.72826086956522
1.265e-05,0.00152642,99.81884057971014
1.265e-05,0.00202359,99.81884057971014
1.265e-05,0.0026827,99.81884057971014
1.265e-05,0.00355648,99.90942028985508
1.265e-05,0.00471487,100.0
1.265e-05,0.00625055,100.0
1.265e-05,0.00828643,100.0
1.265e-05,0.01098541,100.0
1.265e-05,0.01456348,100.0
1.265e-05,0.01930698,100.0
1.265e-05,0.02559548,100.0
1.265e-05,0.03393222,100.0
1.265e-05,0.04498433,100.0
1.265e-05,0.05963623,100.0
1.265e-05,0.07906043,100.0
1.265e-05,0.10481131,100.0
1.265e-05,0.13894955,100.0
1.265e-05,0.184207,100.0
1.265e-05,0.24420531,100.0
1.265e-05,0.32374575,100.0
1.265e-05,0.42919343,100.0
1.265e-05,0.5689866,100.0
1.265e-05,0.75431201,100.0
1.265e-05,1.0,100.0
1.677e-05,1e-06,98.6413043478261
1.677e-05,1.33e-06,98.55072463768117
1.677e-05,1.76e-06,98.55072463768117
1.677e-05,2.33e-06,98.55072463768117
1.677e-05,3.09e-06,98.55072463768117
1.677e-05,4.09e-06,98.55072463768117
1.677e-05,5.43e-06,98.46014492753623
1.677e-05,7.2e-06,98.55072463768117
1.677e-05,9.54e-06,98.6413043478261
1.677e-05,1.265e-05,98.6413043478261
1.677e-05,1.677e-05,98.73188405797102
1.677e-05,2.223e-05,98.73188405797102
1.677e-05,2.947e-05,98.73188405797102
1.677e-05,3.907e-05,98.73188405797102
1.677e-05,5.179e-05,98.82246376811594
1.677e-05,6.866e-05,98.82246376811594
1.677e-05,9.103e-05,99.0036231884058
1.677e-05,0.00012068,99.09420289855072
1.677e-05,0.00015999,99.18478260869566
1.677e-05,0.0002121,99.18478260869566
1.677e-05,0.00028118,99.45652173913044
1.677e-05,0.00037276,99.54710144927536
1.677e-05,0.00049417,99.54710144927536
1.677e-05,0.00065513,99.72826086956522
1.677e-05,0.00086851,99.90942028985508
1.677e-05,0.0011514,99.90942028985508
1.677e-05,0.00152642,99.90942028985508
1.677e-05,0.00202359,99.90942028985508
1.677e-05,0.0026827,99.90942028985508
1.677e-05,0.00355648,100.0
1.677e-05,0.00471487,100.0
1.677e-05,0.00625055,100.0
1.677e-05,0.00828643,100.0
1.677e-05,0.01098541,100.0
1.677e-05,0.01456348,100.0
1.677e-05,0.01930698,100.0
1.677e-05,0.02559548,100.0
1.677e-05,0.03393222,100.0
1.677e-05,0.04498433,100.0
1.677e-05,0.05963623,100.0
1.677e-05,0.07906043,100.0
1.677e-05,0.10481131,100.0
1.677e-05,0.13894955,100.0
1.677e-05,0.184207,100.0
1.677e-05,0.24420531,100.0
1.677e-05,0.32374575,100.0
1.677e-05,0.42919343,100.0
1.677e-05,0.5689866,100.0
1.677e-05,0.75431201,100.0
1.677e-05,1.0,100.0
2.223e-05,1e-06,99.27536231884058
2.223e-05,1.33e-06,99.27536231884058
2.223e-05,1.76e-06,99.27536231884058
2.223e-05,2.33e-06,99.27536231884058
2.223e-05,3.09e-06,99.27536231884058
2.223e-05,4.09e-06,99.27536231884058
2.223e-05,5.43e-06,99.27536231884058
2.223e-05,7.2e-06,99.27536231884058
2.223e-05,9.54e-06,99.27536231884058
2.223e-05,1.265e-05,99.27536231884058
2.223e-05,1.677e-05,99.27536231884058
2.223e-05,2.223e-05,99.27536231884058
2.223e-05,2.947e-05,99.27536231884058
2.223e-05,3.907e-05,99.36594202898551
2.223e-05,5.179e-05,99.36594202898551
2.223e-05,6.866e-05,99.36594202898551
2.223e-05,9.103e-05,99.45652173913044
2.223e-05,0.00012068,99.54710144927536
2.223e-05,0.00015999,99.54710144927536
2.223e-05,0.0002121,99.63768115942028
2.223e-05,0.00028118,99.63768115942028
2.223e-05,0.00037276,99.81884057971014
2.223e-05,0.00049417,99.90942028985508
2.223e-05,0.00065513,99.90942028985508
2.223e-05,0.00086851,99.90942028985508
2.223e-05,0.0011514,99.90942028985508
2.223e-05,0.00152642,99.90942028985508
2.223e-05,0.00202359,99.90942028985508
2.223e-05,0.0026827,99.90942028985508
2.223e-05,0.00355648,100.0
2.223e-05,0.00471487,100.0
2.223e-05,0.00625055,100.0
